iter	Passed	Remaining
0	17	21370
1	33	19964
2	48	19182
3	71	21283
4	87	20964
5	101	20223
6	114	19591
7	128	19102
8	140	18623
9	156	18658
10	175	19010
11	188	18669
12	201	18389
13	214	18170
14	227	17963
15	240	17790
16	252	17586
17	266	17473
18	278	17324
19	291	17202
20	304	17115
21	321	17212
22	337	17290
23	354	17351
24	370	17390
25	384	17363
26	415	18056
27	429	17965
28	444	17956
29	459	17936
30	475	17935
31	489	17880
32	506	17920
33	519	17818
34	531	17705
35	544	17619
36	557	17527
37	572	17517
38	585	17439
39	601	17433
40	613	17347
41	630	17373
42	646	17392
43	659	17337
44	676	17367
45	692	17366
46	706	17339
47	720	17290
48	734	17250
49	753	17322
50	770	17349
51	784	17315
52	800	17316
53	815	17312
54	830	17295
55	846	17301
56	867	17391
57	887	17481
58	911	17628
59	926	17595
60	941	17586
61	961	17649
62	977	17642
63	991	17602
64	1004	17547
65	1018	17501
66	1031	17441
67	1044	17386
68	1056	17321
69	1068	17253
70	1081	17192
71	1093	17124
72	1105	17061
73	1116	16993
74	1130	16959
75	1144	16924
76	1157	16874
77	1170	16841
78	1185	16821
79	1199	16789
80	1212	16752
81	1226	16722
82	1237	16658
83	1249	16606
84	1261	16549
85	1273	16496
86	1286	16461
87	1299	16422
88	1314	16406
89	1329	16398
90	1342	16366
91	1356	16337
92	1369	16295
93	1381	16259
94	1394	16216
95	1406	16175
96	1419	16137
97	1432	16102
98	1446	16082
99	1458	16048
100	1472	16021
101	1485	15990
102	1498	15963
103	1512	15942
104	1525	15913
105	1539	15888
106	1554	15880
107	1568	15854
108	1579	15813
109	1599	15849
110	1612	15819
111	1625	15791
112	1639	15766
113	1653	15750
114	1667	15729
115	1681	15711
116	1695	15690
117	1707	15658
118	1720	15627
119	1732	15596
120	1745	15565
121	1759	15545
122	1772	15518
123	1785	15491
124	1797	15459
125	1811	15440
126	1825	15421
127	1837	15387
128	1849	15356
129	1862	15329
130	1875	15302
131	1889	15291
132	1904	15277
133	1917	15257
134	1932	15243
135	1945	15217
136	1957	15191
137	1970	15165
138	1982	15134
139	1995	15107
140	2006	15070
141	2018	15035
142	2031	15019
143	2044	14992
144	2058	14978
145	2071	14956
146	2084	14929
147	2096	14900
148	2107	14866
149	2119	14834
150	2131	14804
151	2142	14773
152	2154	14746
153	2167	14720
154	2179	14691
155	2190	14657
156	2201	14622
157	2212	14589
158	2223	14554
159	2234	14525
160	2245	14492
161	2256	14459
162	2267	14423
163	2277	14389
164	2289	14358
165	2300	14328
166	2312	14306
167	2324	14279
168	2335	14245
169	2346	14214
170	2358	14194
171	2370	14165
172	2381	14139
173	2393	14110
174	2404	14082
175	2415	14053
176	2426	14023
177	2437	13995
178	2449	13971
179	2461	13946
180	2471	13916
181	2483	13892
182	2495	13867
183	2506	13841
184	2517	13813
185	2528	13783
186	2540	13760
187	2551	13734
188	2562	13705
189	2573	13678
190	2583	13648
191	2595	13624
192	2606	13600
193	2619	13582
194	2632	13567
195	2644	13544
196	2654	13517
197	2665	13490
198	2676	13464
199	2687	13437
200	2698	13411
201	2709	13387
202	2720	13359
203	2731	13338
204	2743	13314
205	2754	13291
206	2765	13268
207	2777	13245
208	2788	13222
209	2799	13198
210	2811	13178
211	2823	13157
212	2834	13136
213	2845	13111
214	2856	13086
215	2868	13069
216	2880	13048
217	2891	13025
218	2902	13002
219	2913	12978
220	2924	12957
221	2935	12933
222	2946	12907
223	2957	12887
224	2968	12864
225	2979	12840
226	2990	12818
227	3001	12797
228	3013	12779
229	3025	12758
230	3035	12734
231	3047	12715
232	3057	12690
233	3068	12666
234	3079	12646
235	3091	12626
236	3101	12602
237	3112	12582
238	3123	12561
239	3135	12540
240	3145	12517
241	3156	12496
242	3167	12476
243	3178	12454
244	3189	12431
245	3200	12409
246	3210	12388
247	3221	12366
248	3224	12316
249	3234	12291
250	3244	12268
251	3254	12243
252	3266	12225
253	3276	12202
254	3285	12176
255	3296	12154
256	3306	12132
257	3316	12108
258	3328	12091
259	3339	12073
260	3350	12052
261	3360	12030
262	3370	12009
263	3381	11987
264	3390	11964
265	3401	11943
266	3411	11922
267	3422	11901
268	3432	11880
269	3443	11861
270	3453	11840
271	3464	11819
272	3474	11796
273	3484	11774
274	3494	11754
275	3504	11733
276	3514	11711
277	3527	11697
278	3538	11679
279	3547	11656
280	3558	11637
281	3568	11616
282	3578	11595
283	3588	11575
284	3600	11558
285	3611	11541
286	3621	11521
287	3632	11502
288	3642	11482
289	3652	11462
290	3663	11445
291	3674	11425
292	3684	11405
293	3694	11386
294	3705	11366
295	3715	11346
296	3725	11328
297	3736	11308
298	3747	11293
299	3758	11275
300	3783	11300
301	3793	11280
302	3804	11261
303	3814	11243
304	3825	11226
305	3836	11207
306	3845	11186
307	3855	11166
308	3865	11146
309	3875	11126
310	3885	11106
311	3895	11086
312	3905	11068
313	3917	11053
314	3927	11034
315	3938	11016
316	3948	10998
317	3958	10979
318	3969	10961
319	3979	10943
320	3989	10925
321	4000	10907
322	4009	10887
323	4020	10869
324	4030	10850
325	4040	10832
326	4051	10815
327	4061	10796
328	4070	10777
329	4081	10760
330	4091	10741
331	4101	10723
332	4111	10704
333	4121	10686
334	4131	10669
335	4142	10651
336	4153	10635
337	4165	10622
338	4176	10608
339	4188	10594
340	4199	10579
341	4210	10564
342	4222	10549
343	4233	10534
344	4244	10518
345	4255	10502
346	4265	10485
347	4276	10470
348	4287	10454
349	4309	10466
350	4321	10453
351	4333	10439
352	4344	10425
353	4355	10408
354	4365	10391
355	4375	10374
356	4386	10357
357	4396	10339
358	4406	10323
359	4417	10307
360	4428	10292
361	4439	10276
362	4450	10262
363	4460	10244
364	4470	10227
365	4481	10211
366	4491	10195
367	4503	10182
368	4516	10170
369	4527	10156
370	4537	10139
371	4548	10122
372	4559	10108
373	4570	10095
374	4582	10080
375	4593	10065
376	4604	10051
377	4615	10037
378	4627	10023
379	4638	10010
380	4650	9995
381	4660	9980
382	4671	9964
383	4682	9950
384	4693	9934
385	4703	9919
386	4716	9907
387	4727	9893
388	4739	9880
389	4750	9866
390	4761	9852
391	4773	9838
392	4784	9825
393	4796	9813
394	4808	9800
395	4820	9787
396	4832	9775
397	4844	9762
398	4856	9748
399	4868	9736
400	4879	9721
401	4890	9707
402	4901	9694
403	4913	9680
404	4924	9666
405	4935	9652
406	4946	9637
407	4957	9623
408	4969	9611
409	4980	9597
410	4992	9584
411	5004	9572
412	5015	9557
413	5026	9542
414	5037	9529
415	5048	9514
416	5060	9501
417	5071	9488
418	5083	9474
419	5094	9461
420	5105	9447
421	5117	9434
422	5129	9421
423	5139	9406
424	5150	9392
425	5162	9379
426	5173	9366
427	5185	9353
428	5196	9338
429	5208	9327
430	5221	9316
431	5233	9304
432	5246	9293
433	5258	9281
434	5270	9268
435	5281	9255
436	5293	9243
437	5306	9230
438	5317	9218
439	5330	9206
440	5341	9193
441	5354	9182
442	5364	9166
443	5390	9178
444	5401	9164
445	5411	9148
446	5422	9134
447	5433	9120
448	5443	9105
449	5453	9089
450	5464	9075
451	5475	9060
452	5486	9047
453	5498	9035
454	5515	9030
455	5530	9022
456	5542	9011
457	5556	9001
458	5569	8990
459	5582	8980
460	5595	8970
461	5608	8958
462	5620	8946
463	5636	8941
464	5649	8929
465	5660	8916
466	5671	8901
467	5684	8891
468	5696	8878
469	5712	8873
470	5724	8860
471	5736	8847
472	5747	8833
473	5758	8820
474	5772	8809
475	5784	8798
476	5796	8785
477	5807	8771
478	5818	8758
479	5828	8742
480	5839	8728
481	5849	8713
482	5860	8699
483	5870	8684
484	5881	8670
485	5891	8655
486	5902	8642
487	5914	8628
488	5925	8615
489	5937	8602
490	5948	8589
491	5959	8575
492	5970	8561
493	5981	8547
494	5992	8534
495	6003	8520
496	6014	8506
497	6024	8493
498	6035	8478
499	6049	8469
500	6064	8460
501	6076	8448
502	6088	8436
503	6099	8423
504	6112	8411
505	6124	8399
506	6135	8386
507	6147	8373
508	6158	8361
509	6170	8348
510	6181	8335
511	6194	8323
512	6205	8310
513	6216	8296
514	6227	8283
515	6238	8269
516	6249	8255
517	6259	8240
518	6269	8226
519	6279	8211
520	6291	8199
521	6301	8185
522	6312	8170
523	6322	8156
524	6332	8141
525	6343	8127
526	6353	8114
527	6363	8099
528	6373	8084
529	6383	8069
530	6393	8055
531	6404	8041
532	6414	8027
533	6425	8013
534	6436	8000
535	6449	7989
536	6460	7976
537	6472	7964
538	6484	7952
539	6495	7939
540	6507	7926
541	6519	7914
542	6531	7902
543	6544	7891
544	6555	7878
545	6566	7865
546	6578	7853
547	6590	7841
548	6601	7828
549	6612	7814
550	6624	7802
551	6635	7789
552	6645	7775
553	6655	7761
554	6666	7747
555	6677	7733
556	6687	7720
557	6698	7706
558	6709	7693
559	6720	7680
560	6730	7666
561	6741	7652
562	6751	7639
563	6763	7626
564	6773	7612
565	6784	7599
566	6795	7586
567	6805	7572
568	6815	7558
569	6825	7544
570	6836	7531
571	6847	7518
572	6858	7504
573	6869	7491
574	6879	7477
575	6889	7463
576	6899	7449
577	6909	7435
578	6919	7421
579	6930	7408
580	6940	7394
581	6951	7381
582	6961	7367
583	6971	7353
584	6982	7340
585	6992	7326
586	7003	7313
587	7013	7299
588	7023	7286
589	7034	7272
590	7044	7258
591	7054	7245
592	7066	7233
593	7077	7220
594	7088	7207
595	7099	7194
596	7110	7182
597	7121	7169
598	7131	7155
599	7142	7142
600	7154	7130
601	7164	7116
602	7175	7104
603	7186	7091
604	7196	7078
605	7207	7065
606	7218	7052
607	7229	7039
608	7239	7025
609	7250	7013
610	7261	7000
611	7272	6987
612	7283	6974
613	7294	6962
614	7304	6948
615	7315	6935
616	7326	6922
617	7336	6908
618	7346	6895
619	7356	6881
620	7367	6869
621	7377	6855
622	7387	6842
623	7398	6829
624	7408	6815
625	7418	6802
626	7428	6789
627	7438	6775
628	7450	6763
629	7460	6750
630	7471	6736
631	7481	6723
632	7492	6711
633	7502	6697
634	7513	6685
635	7524	6672
636	7535	6659
637	7545	6646
638	7555	6633
639	7565	6619
640	7575	6606
641	7586	6593
642	7596	6580
643	7606	6566
644	7616	6553
645	7627	6541
646	7638	6528
647	7649	6516
648	7661	6504
649	7672	6491
650	7683	6479
651	7695	6467
652	7705	6454
653	7716	6441
654	7726	6429
655	7737	6416
656	7749	6404
657	7759	6391
658	7770	6378
659	7780	6365
660	7790	6352
661	7801	6339
662	7811	6326
663	7821	6313
664	7832	6301
665	7843	6288
666	7853	6276
667	7863	6262
668	7873	6249
669	7883	6236
670	7893	6223
671	7905	6211
672	7915	6198
673	7925	6185
674	7936	6172
675	7946	6159
676	7956	6146
677	7967	6134
678	7978	6121
679	7988	6108
680	7998	6095
681	8008	6083
682	8018	6069
683	8028	6056
684	8039	6044
685	8049	6031
686	8059	6018
687	8070	6005
688	8080	5992
689	8090	5980
690	8101	5967
691	8112	5955
692	8122	5942
693	8132	5929
694	8143	5916
695	8154	5904
696	8164	5892
697	8174	5879
698	8184	5866
699	8194	5853
700	8204	5840
701	8215	5827
702	8225	5815
703	8236	5802
704	8247	5791
705	8258	5778
706	8268	5765
707	8278	5752
708	8288	5739
709	8298	5727
710	8308	5714
711	8319	5702
712	8329	5689
713	8340	5676
714	8350	5664
715	8361	5652
716	8371	5639
717	8381	5626
718	8391	5613
719	8402	5601
720	8412	5589
721	8423	5576
722	8434	5564
723	8445	5552
724	8456	5540
725	8466	5527
726	8476	5514
727	8486	5502
728	8496	5489
729	8507	5477
730	8517	5464
731	8527	5452
732	8537	5439
733	8548	5427
734	8558	5414
735	8568	5402
736	8579	5390
737	8590	5377
738	8600	5365
739	8611	5352
740	8621	5340
741	8632	5328
742	8643	5316
743	8654	5304
744	8664	5291
745	8675	5279
746	8686	5267
747	8697	5255
748	8708	5243
749	8721	5232
750	8733	5221
751	8745	5210
752	8757	5198
753	8769	5186
754	8781	5175
755	8793	5164
756	8805	5153
757	8817	5141
758	8828	5129
759	8841	5118
760	8853	5107
761	8865	5095
762	8876	5083
763	8887	5071
764	8899	5060
765	8910	5048
766	8921	5036
767	8932	5024
768	8943	5012
769	8953	5000
770	8964	4988
771	8975	4976
772	8986	4963
773	8996	4951
774	9007	4939
775	9019	4927
776	9029	4915
777	9040	4903
778	9050	4891
779	9061	4879
780	9072	4867
781	9082	4854
782	9092	4842
783	9104	4831
784	9115	4819
785	9127	4807
786	9137	4795
787	9148	4783
788	9158	4770
789	9168	4758
790	9179	4746
791	9203	4741
792	9214	4729
793	9227	4718
794	9238	4706
795	9248	4694
796	9259	4681
797	9269	4669
798	9280	4657
799	9290	4645
800	9300	4632
801	9310	4620
802	9320	4608
803	9331	4596
804	9341	4583
805	9352	4571
806	9363	4559
807	9373	4547
808	9384	4535
809	9395	4523
810	9405	4511
811	9416	4499
812	9428	4487
813	9438	4475
814	9448	4463
815	9459	4451
816	9469	4439
817	9481	4427
818	9491	4415
819	9503	4403
820	9514	4392
821	9525	4380
822	9535	4368
823	9547	4356
824	9558	4344
825	9568	4332
826	9579	4320
827	9590	4308
828	9600	4296
829	9611	4284
830	9621	4272
831	9631	4259
832	9642	4248
833	9652	4236
834	9663	4224
